Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"Northern New England",Weekly,"2024-01-08 00:00:00",Conventional,1.141267848,560915.55,189059.76,260173.40,24.47,111657.92,,,
"New Orleans/Mobile",Weekly,"2024-01-28 00:00:00",Conventional,0.836020978,285330.17,205383.42,3119.92,20.06,76806.77,,,
"New Orleans/Mobile",Weekly,"2024-01-21 00:00:00",Conventional,0.837823232,288356.26,205515.06,3552.93,23.29,79264.98,,,
"New Orleans/Mobile",Weekly,"2024-01-14 00:00:00",Conventional,0.811240531,320123.73,230081.10,4207.19,11.49,85823.95,,,
"New Orleans/Mobile",Weekly,"2024-01-08 00:00:00",Conventional,0.819124928,287013.37,214199.41,3729.23,1.25,69083.48,,,
"New York",Weekly,"2024-01-28 00:00:00",Conventional,1.135783835,2401082.61,216559.07,1606097.61,759.37,577666.56,,,
"New York",Weekly,"2024-01-21 00:00:00",Conventional,1.376938961,1654210.16,185786.04,883526.82,748.87,584148.44,,,
"New York",Weekly,"2024-01-14 00:00:00",Conventional,1.214209433,2069989.38,178007.37,1308052.84,513.12,583416.05,,,
"New York",Weekly,"2024-01-08 00:00:00",Conventional,1.362654100,1729846.67,161330.08,941366.71,955.67,626194.20,,,
Northeast,Weekly,"2024-01-28 00:00:00",Conventional,1.123783665,6287713.96,1213178.50,3382982.79,24502.01,1667050.66,,,
Northeast,Weekly,"2024-01-21 00:00:00",Conventional,1.217609553,5365149.11,1328595.95,2411863.55,28467.59,1596222.03,,,
Northeast,Weekly,"2024-01-14 00:00:00",Conventional,1.167132154,5575489.13,1140377.98,2830803.26,27764.37,1576543.52,,,
Northeast,Weekly,"2024-01-08 00:00:00",Conventional,1.238592534,5524344.03,1193060.24,2557067.75,29154.47,1745061.57,,,
Orlando,Weekly,"2024-01-28 00:00:00",Conventional,0.955367928,707199.83,457475.74,2259.76,13.80,247450.52,,,
